player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,WS/48,paint_rebounding,3catch_and_shoot,pullupshoot
Jerami Grant,19.1,0.354,0.448,0.556,2.7,12.2,4.2,1.1,4.1,10.1,12.1,-3.0,0.9,0.091,0.145314,0.18144,0.05032
Jeremy Lamb,18.4,0.297,0.263,0.55,2.9,22.7,11.3,1.2,1.8,6.8,23.2,-0.8,-0.8,0.115,0.061744,0.08695,1.05616
Jerian Grant,16.3,0.445,0.243,0.555,1.8,9.9,17.3,2.3,0.6,11.7,16.0,0.0,-0.3,0.118,0.026026,0.16848,0.84096
Jimmy Butler,37.0,0.198,0.54,0.586,4.9,13.2,24.8,2.6,0.9,9.3,26.5,5.8,1.1,0.236,0.131706,0.0549,3.00172
Joe Harris,21.9,0.61,0.135,0.558,1.5,12.0,7.3,1.2,0.5,12.5,16.5,-1.4,-1.5,0.032,0.072048,0.64771,0.5508
Joe Ingles,24.0,0.619,0.151,0.604,1.4,13.5,17.1,2.6,0.3,18.2,13.9,0.9,1.8,0.122,0.01957,0.49952,0.6645
Joe Johnson,23.6,0.412,0.123,0.542,2.1,12.7,12.6,1.0,0.8,9.5,18.5,-0.1,-0.1,0.099,0.101232,0.3456,1.35135
Joffrey Lauvergne,14.0,0.292,0.217,0.509,8.0,20.1,10.8,1.3,0.5,13.2,18.5,-2.3,-0.9,0.075,0.15326,0.13536,0.02912
John Henson,19.4,0.003,0.346,0.55,9.6,20.8,7.7,1.3,6.1,13.0,16.6,-2.6,2.5,0.115,0.2568,0.0,0.0175
John Wall,36.4,0.19,0.367,0.541,2.3,10.6,46.9,2.7,1.4,16.2,30.6,3.8,0.2,0.148,0.129564,0.0522,3.32896
Jon Leuer,25.9,0.259,0.175,0.551,5.5,17.5,8.6,0.8,1.1,8.7,17.3,-0.4,0.5,0.112,0.109068,0.1664,0.49368
Jonas Jerebko,15.8,0.496,0.141,0.537,5.5,19.1,8.1,1.0,1.1,12.3,11.4,-2.4,0.3,0.081,0.102284,0.27202,0.11583
Jonas Valanciunas,25.8,0.003,0.309,0.601,12.4,29.1,4.4,0.9,2.6,11.7,19.5,-0.5,-0.1,0.183,0.2009,1e-05,0.09064
Jonathon Simmons,17.8,0.242,0.314,0.504,1.7,11.1,13.2,1.7,1.5,13.7,18.0,-2.8,0.9,0.068,0.1628,0.06176,0.55728
Jordan Clarkson,29.2,0.332,0.157,0.526,2.2,9.3,14.4,1.8,0.3,12.5,23.3,-0.5,-2.3,0.024,0.133525,0.15372,2.01958
Josh Richardson,30.5,0.442,0.15,0.493,2.4,9.2,12.7,1.9,1.9,10.6,16.8,-1.0,1.1,0.066,0.166463,0.48125,1.21672
Jrue Holiday,32.7,0.314,0.188,0.532,2.2,10.6,35.9,2.2,1.6,16.7,23.5,1.2,0.5,0.084,0.131535,0.03204,2.84076
Juan Hernangomez,13.6,0.504,0.339,0.592,5.7,18.7,4.7,1.7,1.1,10.7,14.6,-0.1,-1.2,0.103,0.128,0.345,0.01617
Julius Randle,28.8,0.082,0.365,0.543,7.5,25.8,19.3,1.1,1.4,16.2,21.4,-0.7,0.7,0.08,0.141317,0.0154,0.4537
Justin Anderson,16.4,0.442,0.294,0.537,6.2,16.9,8.8,1.7,1.6,11.7,20.9,-1.2,-0.3,0.074,0.095887,0.23335,0.26918
Justin Hamilton,18.4,0.478,0.137,0.55,6.5,17.0,7.3,1.2,2.8,9.7,16.2,-0.9,0.2,0.084,0.193856,0.41118,0.07854
Justin Holiday,20.0,0.507,0.149,0.549,1.8,13.1,9.2,2.0,1.5,10.3,16.9,-0.3,-0.8,0.073,0.108225,0.48018,0.64525
Jusuf Nurkic,21.4,0.002,0.393,0.528,12.3,24.8,13.9,1.8,4.2,18.6,23.9,-2.3,2.2,0.068,0.220988,0.0,0.04641
Karl-Anthony Towns,37.0,0.186,0.289,0.618,11.2,27.8,13.2,1.0,2.9,11.3,27.5,4.8,0.3,0.201,0.182516,0.1914,0.44958
Kawhi Leonard,33.4,0.294,0.407,0.611,3.7,15.7,18.9,2.7,1.8,9.1,31.1,6.4,1.5,0.264,0.157899,0.2466,3.6577
Kelly Olynyk,20.5,0.378,0.242,0.603,5.3,20.7,15.2,1.4,1.5,14.6,19.0,0.1,0.5,0.127,0.080496,0.29319,0.29853
Kelly Oubre,20.3,0.425,0.224,0.516,4.3,13.9,4.0,1.8,0.9,9.2,14.5,-1.8,-0.5,0.062,0.105835,0.22875,0.31008
Kemba Walker,34.7,0.415,0.248,0.569,1.8,10.6,29.1,1.6,0.7,9.5,29.2,5.3,-1.7,0.142,0.077562,0.20216,4.1499
Kenneth Faried,21.2,0.014,0.454,0.588,15.7,23.6,6.3,1.6,2.4,10.4,18.3,0.9,-0.1,0.169,0.2247,0.0,0.0675
Kent Bazemore,26.9,0.369,0.233,0.504,2.6,10.3,14.2,2.3,2.3,13.6,20.5,-2.0,1.2,0.053,0.07536,0.25935,1.34976
Kentavious Caldwell-Pope,33.3,0.471,0.199,0.519,2.3,8.7,11.2,1.8,0.4,7.9,19.2,0.9,0.0,0.086,0.114688,0.41208,2.1648
Kevin Durant,33.4,0.304,0.374,0.651,2.2,23.6,23.1,1.5,3.8,10.4,27.8,5.4,2.6,0.277,0.083767,0.30576,2.16
Kevin Love,31.4,0.449,0.34,0.573,8.9,29.3,9.8,1.4,0.9,10.9,26.4,1.7,-0.9,0.163,0.109906,0.9315,0.4917
Klay Thompson,34.0,0.47,0.158,0.592,2.2,9.2,9.3,1.2,1.2,8.0,26.1,2.4,-2.1,0.128,0.102708,1.27078,1.73055
Kosta Koufos,20.0,0.003,0.158,0.56,9.7,22.9,5.3,1.3,3.1,12.7,15.3,-2.6,0.7,0.089,0.137904,0.0,0.0693
Kris Dunn,17.1,0.233,0.188,0.432,2.1,12.6,19.4,3.0,2.3,20.8,14.2,-3.7,1.5,0.004,0.122728,0.02873,0.59778
Kris Humphries,12.3,0.252,0.383,0.514,9.7,23.0,6.4,1.1,2.6,10.1,17.6,-3.0,0.3,0.115,0.138672,0.07616,0.08757
Kristaps Porzingis,32.8,0.319,0.256,0.546,5.5,18.2,7.3,1.1,4.9,9.7,24.3,0.2,0.0,0.1,0.206,0.47173,1.38838
Kyle Anderson,14.2,0.191,0.273,0.525,3.7,19.0,12.4,2.5,2.1,14.3,12.1,-2.1,3.7,0.127,0.103356,0.0368,0.1125
Kyle Korver,26.2,0.697,0.082,0.635,0.5,11.0,9.4,1.0,1.0,11.5,15.2,0.8,-1.0,0.101,0.120512,1.07115,1.0925
Kyle Lowry,37.4,0.51,0.398,0.623,2.4,12.1,29.9,2.0,0.7,13.8,24.9,7.1,-0.4,0.216,0.10229,0.2772,3.68368
Kyle O'Quinn,15.6,0.041,0.201,0.552,13.7,24.8,14.8,1.5,6.9,14.5,18.5,-0.1,3.7,0.151,0.20713,0.00081,0.0875
Kyrie Irving,35.1,0.311,0.231,0.58,2.3,7.5,29.7,1.6,0.8,10.3,30.8,4.8,-2.3,0.17,0.202,0.12987,4.43718
LaMarcus Aldridge,32.4,0.053,0.258,0.532,8.6,16.6,9.9,1.0,3.1,7.7,24.5,-0.3,1.4,0.149,0.215118,0.0144,1.07868
Langston Galloway,20.2,0.565,0.117,0.51,1.9,9.3,9.4,1.5,0.3,7.4,18.4,-0.9,-1.7,0.041,0.052614,0.69825,0.77504
