,player,Age,Tm,G,MP,WS,GS,MP.1,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,paint_rebounding,id,3catch_and_shoot,pullupshoot
75,Doug McDermott,25,TOT,66,22.8,2.6,5,1508,10.7,0.416,0.169,1.4,11.5,6.4,5.9,0.4,0.3,6.6,16.4,112,112,1.6,1.0,0.083,-1.2,-2.3,-3.5,-0.6,0.093732,203926,0.44352,0.79655
76,Draymond Green,26,GSW,76,32.5,8.2,76,2471,16.5,0.405,0.328,4.6,20.9,13.3,27.6,3.0,3.4,19.8,16.2,111,99,2.8,5.4,0.16,0.4,5.0,5.4,4.6,0.141708,203110,0.39795,0.0729
77,Dwight Howard,31,ATL,74,29.7,8.3,74,2199,20.8,0.003,0.692,15.0,31.7,23.5,7.8,1.4,3.6,17.5,19.2,115,100,3.8,4.5,0.181,-0.5,2.8,2.3,2.4,0.16104,2730,0.0,0.01332
78,Dwight Powell,25,DAL,77,17.3,4.6,3,1333,17.6,0.196,0.374,7.7,19.5,13.3,6.1,2.4,2.6,7.2,16.7,120,105,2.7,1.9,0.165,-0.5,1.9,1.4,1.2,0.107616,203939,0.0532,0.02672
79,Dwyane Wade,35,CHI,60,29.9,3.4,59,1792,18.5,0.152,0.294,3.8,12.6,8.2,22.4,2.4,1.8,11.3,29.6,103,106,0.9,2.5,0.09,0.4,0.6,1.0,1.4,0.114162,2548,0.01624,3.11649
80,E'Twaun Moore,27,NOP,73,24.9,2.7,22,1820,12.1,0.336,0.12,1.9,6.9,4.4,13.8,1.3,1.4,8.7,17.4,107,111,1.2,1.5,0.07,-0.8,-0.5,-1.3,0.3,0.216,202734,0.2464,1.122
81,Elfrid Payton,22,ORL,82,29.4,4.4,58,2412,17.2,0.16,0.231,3.9,13.8,8.7,35.7,1.8,1.3,15.0,21.6,107,111,2.4,2.0,0.088,0.7,0.2,0.9,1.7,0.11832,203901,0.05304,0.94656
82,Emmanuel Mudiay,20,DEN,55,25.6,0.2,41,1406,10.9,0.323,0.303,2.3,11.6,7.0,21.8,1.4,0.7,16.5,22.6,98,114,-0.4,0.5,0.006,-2.0,-1.8,-3.8,-0.6,0.083895,1626144,0.1863,0.8064
83,Enes Kanter,24,OKC,72,21.3,5.8,0,1533,23.7,0.052,0.387,14.1,20.8,17.4,7.9,1.0,2.0,12.5,27.3,116,107,4.0,1.8,0.183,0.6,-1.9,-1.2,0.3,0.2494,202683,0.00357,0.06912
84,Eric Bledsoe,27,PHO,66,33.0,5.4,66,2176,20.6,0.3,0.443,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,111,112,4.0,1.4,0.119,3.7,-0.4,3.3,2.9,0.126,202339,0.09198,2.77406
85,Eric Gordon,28,HOU,75,31.0,3.8,15,2323,13.1,0.651,0.172,1.4,8.1,4.7,12.3,1.0,1.4,10.0,22.1,109,113,2.5,1.4,0.079,1.0,-2.4,-1.4,0.4,0.10875,201569,1.176,1.5264
86,Ersan Ilyasova,29,TOT,82,26.1,4.1,52,2142,14.6,0.452,0.233,5.9,18.8,12.4,11.0,1.3,0.9,10.6,22.2,107,108,1.8,2.3,0.091,0.3,-0.8,-0.5,0.8,0.135642,101141,0.52244,0.69333
87,Evan Fournier,24,ORL,68,32.9,2.8,66,2234,13.9,0.387,0.298,2.1,8.3,5.1,14.8,1.5,0.1,11.8,23.5,106,114,1.7,1.1,0.059,0.8,-2.2,-1.3,0.4,0.182441,203095,0.36314,1.52292
88,Evan Turner,28,POR,65,25.5,1.2,12,1658,11.4,0.214,0.187,2.4,14.2,8.3,18.4,1.6,1.2,14.3,18.5,100,111,0.0,1.2,0.035,-2.5,-0.1,-2.6,-0.3,0.075589,202323,0.0703,1.5862
89,Frank Kaminsky,23,CHO,75,26.1,2.3,16,1954,13.0,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8.0,21.8,102,109,0.4,1.9,0.056,-0.8,-0.7,-1.5,0.2,0.1526,1626163,0.63954,0.266
90,Garrett Temple,30,SAC,65,26.6,2.2,21,1728,11.2,0.509,0.171,2.2,10.0,6.1,14.5,2.5,1.5,14.4,14.2,106,111,0.9,1.3,0.062,-0.3,0.6,0.3,1.0,0.2168,202066,0.47824,0.66978
91,Gary Harris,22,DEN,57,31.3,4.6,56,1782,16.5,0.4,0.21,3.0,8.0,5.5,13.6,1.9,0.3,9.8,18.4,121,114,3.9,0.7,0.124,3.1,-1.6,1.5,1.6,0.083104,203914,0.561,0.68835
92,Gerald Henderson,29,PHI,72,23.2,2.1,41,1667,10.8,0.313,0.298,2.2,10.0,6.1,10.5,1.2,0.7,9.0,17.9,106,112,1.0,1.0,0.059,-1.8,-1.2,-3.1,-0.5,0.228114,201945,0.2067,0.97917
93,Giannis Antetokounmpo,22,MIL,80,35.6,12.4,80,2845,26.1,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,116,104,7.9,4.5,0.21,4.1,3.5,7.6,6.9,0.1495,203507,0.03154,1.3611
94,Glenn Robinson,23,IND,69,20.7,2.5,27,1426,11.5,0.37,0.225,4.5,14.6,9.6,4.7,1.4,1.2,9.1,12.8,112,110,1.3,1.2,0.085,-1.2,-0.2,-1.4,0.2,0.073926,203922,0.24288,0.3525
95,Goran Dragic,30,MIA,73,33.7,7.5,73,2459,19.7,0.257,0.335,2.7,9.9,6.3,29.0,1.8,0.4,14.1,27.1,112,109,5.0,2.6,0.147,3.4,-0.7,2.7,2.9,0.071613,201609,0.14725,2.63466
96,Gordon Hayward,26,UTA,73,34.5,10.4,73,2516,22.2,0.324,0.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,118,106,7.1,3.3,0.199,4.2,0.0,4.2,4.0,0.045428,202330,0.2838,2.7683
97,Gorgui Dieng,27,MIN,82,32.4,5.7,82,2653,14.2,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,114,110,3.2,2.5,0.103,-0.5,2.2,1.7,2.5,0.138768,203476,0.00954,0.28656
98,Greg Monroe,26,MIL,81,22.5,5.6,0,1823,21.1,0.006,0.329,10.8,23.1,17.0,17.3,2.6,1.8,14.4,24.3,111,105,3.0,2.6,0.147,0.5,1.5,2.0,1.9,0.244648,202328,0.0,0.03696
